Protein stable ID	Gene name
	MIR4265
	RNU6-1131P
	MIR4315-2
	MIR601
	RN7SL665P
	MIR513A2
	MIR4657
	MIR1302-11
	RF00026
	RNA5SP159
	MIR6851
	MIR892A
	RNU1-96P
	MIR548N
	MIR7854
	MIR187
	RN7SKP208
	MIR3186
	MIR6771
	SCARNA4
	MIR4285
	RNU6-712P
	RNA5SP481
	MIR449A
	MIR3168
	SNORD105B
	MIR548H4
	MIR3913-2
	RN7SKP85
	MIR6131
	RNY1P10
	RNU6-312P
	RNA5SP285
	SNORD68
	MIR5091
	MIR569
	MIR6511B2
	RNU1-84P
	MIR3688-2
	MIR5691
	RNVU1-3
	MIR5739
	RNU6-131P
	SNORD114-10
	MIR623
	MIR4798
	RNA5SP346
	MIR210
ENSP00000483417	TFPT
	RF02148
ENSP00000482023	AC012314.30
ENSP00000486233	AC012314.30
	RNU4-72P
	MIR570
	MIR200C
	RNU1-97P
	RN7SL309P
	RF00017
	MIRLET7E
	MIR4758
	MIR483
	MIR4682
	RNU6-449P
	RNU6-737P
	MIR1231
	RNU6-1317P
	MIR6890
	RNA5SP489
	MIR4524A
	RN7SL833P
	RNU7-151P
	MIR196A1
	RNA5SP170
	MIR1285-2
	RNU6-701P
	RN7SL225P
	MIR8065
	SNORD114-26
	ACTR3BP2
	RNU6-1304P
	MIR4262
	RNU6-1149P
	MIR3670-1
	RF00017
	MIR4508
	RF00019
	RNU6-759P
	MIR543
	RN7SKP117
	MIR518A1
	RNU6-269P
	RN7SL172P
	RF00410
	RF00280
	RNA5SP336
	RF00019
	MIR320C2
	RF00017
	MIR4693
	MIR1297
	RN7SL273P
	RF00152
	RF00601
	RF00019
	MIR4482
	MIR6761
	RF00402
	RNA5SP318
	MIR548C
	RNU6-613P
	SNORA48B
	SNORA38
	RNU6-391P
	SNORA38
	MIR4671
	SNORD115-30
	RF00026
	RF00019
	RF00019
	RN7SL681P
	MIR202
	RNA5SP522
	RF00019
	RF00019
	RNU6-1128P
	MIR4423
	RNU6-1190P
	RNU1-7P
	RF00066
	RNA5SP76
	RF00324
	SNORD50B
	RNU6-397P
	RF00019
	RNU6-1275P
	RN7SL18P
	RNA5SP133
	RF00026
	RF00019
	RNA5SP309
	RNU6-750P
	MIR6745
	MIR6833
	RF00019
	RF00017
	RNU6-763P
	MIR4484
	RF00284
	MIR6083
	RNU6-1050P
	RNU11-2P
	RNU6-986P
	MIR1324
ENSP00000481708	AC012314.23
ENSP00000484896	AC012314.23
	RN7SL630P
	MIR1976
	RN7SL107P
	SNORD28B
	RF00017
	MIR6808
	SNORA67
